price,year,month,day
389,2025,2,26
398,2024,12,17
399,2025,3,28
399,2025,3,27
399,2025,3,13
399,2024,12,24
399,2024,12,23
399,2024,8,29
399,2025,6,23
399,2024,8,27
399,2025,5,23
409,2025,6,27
409,2025,3,06
409,2025,3,26
409,2025,6,26
409,2025,3,11
409,2025,4,03
409,2025,3,31
409,2025,2,25
409,2025,3,07
419,2025,2,10
419,2024,12,31
419,2025,7,03
419,2025,3,04
419,2025,3,14
419,2024,11,26
419,2025,2,28
419,2025,1,04
424,2024,8,28
427,2025,4,20
427,2025,4,27
427,2025,6,15
428,2024,11,30
429,2025,2,11
429,2025,6,14
429,2024,8,31
429,2025,2,14
434,2024,8,30
437,2024,9,08
437,2024,9,15
437,2025,4,13
438,2024,12,16
439,2025,6,21
439,2024,8,26
439,2025,3,18
447,2025,1,12
447,2025,1,05
447,2024,9,19
447,2024,10,10
447,2024,10,07
449,2025,5,17
449,2024,12,20
454,2024,9,02
457,2025,6,08
457,2025,6,29
458,2024,9,10
458,2025,3,21
459,2025,2,15
459,2025,2,18
459,2025,2,21
467,2025,6,22
467,2024,12,15
477,2024,9,29
477,2024,10,09
478,2025,1,20
478,2024,9,03
479,2025,7,01
484,2025,3,10
487,2025,7,06
487,2025,5,18
488,2025,4,04
494,2025,3,17
497,2025,3,09
497,2025,3,30
497,2024,9,22
499,2025,6,28
507,2024,10,11
517,2025,2,16
518,2024,12,22
527,2024,10,06
533,2025,3,03
537,2024,9,01
538,2025,2,17
553,2025,3,29
558,2025,2,08
558,2025,2,22
573,2025,2,24
573,2025,3,08
573,2025,3,01
577,2024,12,01
577,2025,2,09
583,2025,3,22
583,2025,3,15
587,2025,3,02
597,2025,3,16
628,2024,12,21
628,2024,10,19
632,2024,8,25
638,2025,4,07
657,2024,10,20
667,2025,2,23
782,2025,4,05
793,2025,3,24
817,2025,4,06
828,2025,3,25
847,2025,3,23
1300,2025,7,19
1370,2025,7,20
